name,description,asks_fee,label
RiverGate Manpower,"Has physical branches in multiple cities, each with office photos and landline numbers on the website. They use printed receipts for corporate billing and do not collect cash from candidates.",0,0
QuickInstant Agency,100% placement guarantee. Freshers must pay placement fee. Get selected instantly for high-paying job. Just pay registration fee.,0,1
BlueOcean HR Partners,Provides recruitment services for manufacturing and pharma companies. All candidate communication comes from official domain emails and no payment links are shared.,0,0
JobDream Consultancy,Part-time copy paste work. First transfer processing fee. One-time registration fee required before sharing interview location.,1,1
QuickFirst Consultancy,Pay joining fee to access premium job list and HR contacts. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
HRPartners HR,Provides project-based hiring for Java and .NET engineers. All communication happens from verified company email domains.,0,0
100%Overseas Jobs,100% placement guarantee. Freshers must pay placement fee. Pay joining fee to access premium job list and HR contacts.,0,1
CashSureShot Consultancy,Pay joining fee to access premium job list and HR contacts. Asks candidates to pay processing fee in cash before employer details.,1,1
QuickMoney Captcha Jobs,Sends Telegram link and promises 500 rupees per hour for simple captcha work; asks users to buy an activation code for 1200.,1,1
CoreSummit Partners,All communication happens from verified company email domains. Provides project-based hiring for Java and .NET engineers.,0,0
SilverGlobal Solutions,All communication happens from verified company email domains. We are an IT staffing firm partnering with MNC clients.,0,0
CoreSilver Solutions,We are an IT staffing firm partnering with MNC clients. Selection process includes technical test and HR round.,0,0
QuickOverseas Consultancy,Simple work from mobile. Join now by paying account creation fee. Activation fee must be paid immediately to unlock projects.,1,1
EasyOffer Agency,Simple work from mobile. Join now by paying account creation fee. Must pay consultancy fee and visa processing amount in advance.,1,1
GlobalCity Solutions,No fees are collected from candidates at any stage. Service charges are billed only to client companies.,0,0
StaffingPrime HR,Recruitment for clients is free for job seekers. Consulting and training firm in data science.,0,0
100%Offer Services,NO INTERVIEW required. Send joining fee on Google Pay. 100% placement guarantee. Freshers must pay placement fee.,1,1
CityPartners Solutions,Selection process includes technical test and HR round. No fees are collected from candidates at any stage.,0,0
VisasPay Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Must pay consultancy fee and visa processing amount in advance.,1,1
EasyPlacement Agency,Get selected instantly for high-paying job. Just pay registration fee. Asks candidates to pay processing fee in cash before employer details.,1,1
Job100% Services,Get selected instantly for high-paying job. Just pay registration fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
QuickOverseas Agency,One-time registration fee required before sharing interview location. Part-time copy paste work. First transfer processing fee.,0,1
CityPartners HR,All openings are listed on our official website. Official recruitment partner for mid-size software companies.,0,0
Instant100% Services,100% placement guarantee. Freshers must pay placement fee. Demands non-refundable registration fee to reserve offer letter.,1,1
NextGen Talent Forge,Conducts coding bootcamps with clear fee structure and refund rules; any placement assistance is add‑on but not sold as guaranteed job.,0,0
SureShotQuick Agency,One-time registration fee required before sharing interview location. Company charges for profile activation. Refund if not selected.,1,1
CashOffer Consultancy,100% placement guarantee. Freshers must pay placement fee. Get selected instantly for high-paying job. Just pay registration fee.,1,1
CashOffer Services,One-time registration fee required before sharing interview location. Demands non-refundable registration fee to reserve offer letter.,1,1
PartnersSilver Partners,Recruitment for clients is free for job seekers. Works only on retained search basis.,1,0
StudentDream Job Givers,"Targets fresh graduates through social media, promising quick MNC jobs. Asks them to pay 2500 registration fee via wallet before sharing company names.",1,1
CitySummit Staffing,Candidates are hired as full time employees with standard background checks. No fees are collected from candidates at any stage.,0,0
NextGenSummit HR,No fees are collected from candidates at any stage. Selection process includes technical test and HR round.,0,0
GuaranteedVisas Services,We guarantee job in MNC without exams. Pay security deposit. Simple work from mobile. Join now by paying account creation fee.,0,1
TechAdvisory Partners,All openings are listed on our official website. We are an IT staffing firm partnering with MNC clients.,0,0
GlobalTech Solutions,We are an IT staffing firm partnering with MNC clients. Official recruitment partner for mid-size software companies.,0,0
UrbanNextGen Staffing,All openings are listed on our official website. Provides project-based hiring for Java and .NET engineers.,0,0
EasySureShot Jobs,Must pay consultancy fee and visa processing amount in advance. Asks candidates to pay processing fee in cash before employer details.,1,1
GuaranteedGuaranteed Jobs,Must pay consultancy fee and visa processing amount in advance. Pay joining fee to access premium job list and HR contacts.,1,1
SummitCore Partners,Works only on retained search basis. Service charges are billed only to client companies.,0,0
VisasCash Agency,NO INTERVIEW required. Send joining fee on Google Pay. Get selected instantly for high-paying job. Just pay registration fee.,1,1
EasyInstant Jobs,Get selected instantly for high-paying job. Just pay registration fee. Part-time copy paste work. First transfer processing fee.,1,1
BlueUrban Solutions,Works only on retained search basis. Recruitment for clients is free for job seekers.,1,0
CityPrime Solutions,All communication happens from verified company email domains. Selection process includes technical test and HR round.,0,0
CityPartners Solutions,Candidates are hired as full time employees with standard background checks. All openings are listed on our official website.,0,0
QuickCash Agency,Earn daily 3000 INR. First pay processing fee for ID card. Asks candidates to pay processing fee in cash before employer details.,0,1
FirstPay Consultancy,Pay joining fee to access premium job list and HR contacts. Demands non-refundable registration fee to reserve offer letter.,1,1
BrightSky Overseas Jobs,Asks candidates to transfer visa processing and service fees to personal bank account before providing employer contact or offer letter draft.,1,1
DreamQuick Agency,100% placement guarantee. Freshers must pay placement fee. Company charges for profile activation. Refund if not selected.,1,1
GuaranteedOverseas Agency,Asks candidates to pay processing fee in cash before employer details. Activation fee must be paid immediately to unlock projects.,1,1
DreamInstant Services,Demands non-refundable registration fee to reserve offer letter. 100% placement guarantee. Freshers must pay placement fee.,1,1
UrbanStaffing HR,Consulting and training firm in data science. Official recruitment partner for mid-size software companies.,0,0
UrbanTalent Solutions,Official recruitment partner for mid-size software companies. Selection process includes technical test and HR round.,0,0
DreamPay Agency,Company charges for profile activation. Refund if not selected. Must pay consultancy fee and visa processing amount in advance.,1,1
CoreCore Partners,Consulting and training firm in data science. Selection process includes technical test and HR round.,1,0
Premium Career Launch Services,We provide paid training with optional placement assistance. Program fees are clearly mentioned on website; recruitment for clients is free for job seekers.,0,0
JobInstant Services,We offer premium job placement services for freshers and experienced candidates.,1,1
SureShotFirst Jobs,Asks candidates to pay processing fee in cash before employer details. Company charges for profile activation. Refund if not selected.,1,1
HRHR Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PlacementInstant Services,100% placement guarantee. Freshers must pay placement fee. Must pay consultancy fee and visa processing amount in advance.,1,1
EasyFirst Jobs,One-time registration fee required before sharing interview location. Must pay consultancy fee and visa processing amount in advance.,1,1
OverseasInstant Agency,NO INTERVIEW required. Send joining fee on Google Pay. Demands non-refundable registration fee to reserve offer letter.,1,1
RightHire Corporate Services,Long‑established consultancy with client list on website. Candidates attend interviews at client offices; any request for payment is flagged as fraud.,0,0
GlobalSummit Staffing,Service charges are billed only to client companies. Selection process includes technical test and HR round.,0,0
DreamPlacement Jobs,Simple work from mobile. Join now by paying account creation fee. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
OverseasSureShot Agency,One-time registration fee required before sharing interview location. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
FirstInstant Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. Simple work from mobile. Join now by paying account creation fee.,1,1
BrightBright Partners,"Service charges are billed only to client companies. We are paid by employers, not by job seekers.",0,0
Cash100% Consultancy,Activation fee must be paid immediately to unlock projects. Get selected instantly for high-paying job. Just pay registration fee.,1,1
EasyQuick Consultancy,100% placement guarantee. Freshers must pay placement fee. Pay joining fee to access premium job list and HR contacts.,1,1
PartnersCity HR,Recruitment for clients is free for job seekers. All openings are listed on our official website.,0,0
SilverNextGen Partners,"We are paid by employers, not by job seekers. Consulting and training firm in data science.",0,0
JobVisas Consultancy,Pay joining fee to access premium job list and HR contacts. Part-time copy paste work. First transfer processing fee.,1,1
PayDream Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
Guaranteed Job Placement Without Experience,"100% placement guarantee in top companies. Freshers must pay training and placement fee of 25,000 before joining.",1,1
100%Quick Agency,100% placement guarantee. Freshers must pay placement fee. Part-time copy paste work. First transfer processing fee.,1,1
NextGenSilver Partners,"We are paid by employers, not by job seekers. We are an IT staffing firm partnering with MNC clients.",0,0
TalentPartners Staffing,Service charges are billed only to client companies. Selection process includes technical test and HR round.,0,0
InstantOverseas Consultancy,Pay joining fee to access premium job list and HR contacts. 100% placement guarantee. Freshers must pay placement fee.,1,1
HRSummit Solutions,Candidates are hired as full time employees with standard background checks. We are an IT staffing firm partnering with MNC clients.,0,0
TalentPartners HR,"Works only on retained search basis. We are paid by employers, not by job seekers.",0,0
FirstPay Consultancy,Company charges for profile activation. Refund if not selected. Simple work from mobile. Join now by paying account creation fee.,1,1
SureShot100% Agency,Part-time copy paste work. First transfer processing fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
OfferSureShot Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Simple work from mobile. Join now by paying account creation fee.,1,1
EasySureShot Agency,Demands non-refundable registration fee to reserve offer letter. 100% placement guarantee. Freshers must pay placement fee.,1,1
TalentBright Partners,All openings are listed on our official website. Provides project-based hiring for Java and .NET engineers.,0,0
AdvisoryNextGen Staffing,Provides project-based hiring for Java and .NET engineers. Service charges are billed only to client companies.,0,0
StaffingUrban Partners,All openings are listed on our official website. Selection process includes technical test and HR round.,0,0
TechStaffing Partners,Candidates are hired as full time employees with standard background checks. All communication happens from verified company email domains.,0,0
InstantJob Jobs,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
CityPartners Solutions,No fees are collected from candidates at any stage. Recruitment for clients is free for job seekers.,0,0
HRTech Solutions,All communication happens from verified company email domains. Official recruitment partner for mid-size software companies.,0,0
ConsultingConsulting Partners,"No fees are collected from candidates at any stage. We are paid by employers, not by job seekers.",0,0
DirectHR Official Jobs,Corporate HR team that contacts candidates from verified company email and does not request any payment for processing or background checks.,0,0
QuickOffer Agency,Part-time copy paste work. First transfer processing fee. Activation fee must be paid immediately to unlock projects.,1,1
StaffingNextGen HR,All communication happens from verified company email domains. Official recruitment partner for mid-size software companies.,0,0
TechAdvisory HR,"Provides project-based hiring for Java and .NET engineers. We are paid by employers, not by job seekers.",0,0
TalentNextGen Staffing,Consulting and training firm in data science. Candidates are hired as full time employees with standard background checks.,0,0
Unlimited Income Captcha Typing Agency,"Simple work from mobile, no skills needed. Limited slots, join now by paying 1500 rs as account creation fee.",1,1
AdvisoryTech Staffing,"Provides project-based hiring for Java and .NET engineers. We are paid by employers, not by job seekers.",0,0
HomePay Data Entry Services,Offers file‑typing and survey work with unrealistic pay rates. Requires purchase of a starter kit worth 1999 before sending work files.,1,1
FirstGuaranteed Consultancy,Demands non-refundable registration fee to reserve offer letter. Demands non-refundable registration fee to reserve offer letter.,1,1
TalentStaffing HR,All communication happens from verified company email domains. All communication happens from verified company email domains.,0,0
PartnersPartners Partners,Consulting and training firm in data science. Candidates are hired as full time employees with standard background checks.,0,0
UrbanSilver Staffing,All openings are listed on our official website. Consulting and training firm in data science.,0,0
UrbanBright Staffing,No fees are collected from candidates at any stage. No fees are collected from candidates at any stage.,0,0
BrightUrban HR,Consulting and training firm in data science. Recruitment for clients is free for job seekers.,0,0
PrimeCore HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
PayInstant Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. One-time registration fee required before sharing interview location.,1,1
SilverStaffing Partners,Selection process includes technical test and HR round. All openings are listed on our official website.,0,0
BrightPath Overseas Consulting,Helps candidates apply for international universities and internships. Service charges are for documentation only; job offers are handled directly by companies.,0,0
TalentTech Solutions,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
ConsultingTalent Staffing,Service charges are billed only to client companies. Candidates are hired as full time employees with standard background checks.,0,0
100%Offer Agency,Activation fee must be paid immediately to unlock projects. Demands non-refundable registration fee to reserve offer letter.,1,1
PartnersTech Partners,Works only on retained search basis. Selection process includes technical test and HR round.,0,0
SummitUrban Partners,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
JobEdge SMS Hiring,Sends bulk SMS claiming Govt bank jobs with very high salary. Asks to pay 2200 exam fee via UPI to personal number.,1,1
UrbanStaffing HR,All communication happens from verified company email domains. Official recruitment partner for mid-size software companies.,0,0
AdvisoryBlue Partners,Recruitment for clients is free for job seekers. No fees are collected from candidates at any stage.,0,0
DreamQuick Agency,Get selected instantly for high-paying job. Just pay registration fee. Simple work from mobile. Join now by paying account creation fee.,1,1
CashPlacement Services,Must pay consultancy fee and visa processing amount in advance. Must pay consultancy fee and visa processing amount in advance.,1,1
VisasDream Agency,Must pay consultancy fee and visa processing amount in advance. Asks candidates to pay processing fee in cash before employer details.,1,1
InstantSureShot Services,Company charges for profile activation. Refund if not selected. Demands non-refundable registration fee to reserve offer letter.,0,1
GuaranteedQuick Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
AdvisoryPrime HR,Works only on retained search basis. Consulting and training firm in data science.,0,0
ConsultingUrban Partners,All communication happens from verified company email domains. Works only on retained search basis.,0,0
InstantCash Consultancy,100% placement guarantee. Freshers must pay placement fee. Part-time copy paste work. First transfer processing fee.,1,1
EasyVisas Agency,Activation fee must be paid immediately to unlock projects. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
InstantSureShot Jobs,Company charges for profile activation. Refund if not selected. Get selected instantly for high-paying job. Just pay registration fee.,1,1
GuaranteedEasy Services,Part-time copy paste work. First transfer processing fee. Asks candidates to pay processing fee in cash before employer details.,1,1
ConsultingSilver HR,All openings are listed on our official website. Candidates are hired as full time employees with standard background checks.,0,0
ConsultingAdvisory Staffing,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
BlueHR HR,Selection process includes technical test and HR round. All communication happens from verified company email domains.,0,0
QuickOverseas Jobs,100% placement guarantee. Freshers must pay placement fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
PrimeStaffing HR,"We are paid by employers, not by job seekers. No fees are collected from candidates at any stage.",0,0
HRConsulting HR,"All openings are listed on our official website. We are paid by employers, not by job seekers.",0,0
TalentCity Staffing,No fees are collected from candidates at any stage. Consulting and training firm in data science.,0,0
SureShotVisas Services,Demands non-refundable registration fee to reserve offer letter. One-time registration fee required before sharing interview location.,1,1
BrightAdvisory Partners,"We are paid by employers, not by job seekers. All communication happens from verified company email domains.",0,0
OverseasPlacement Services,Simple work from mobile. Join now by paying account creation fee. Simple work from mobile. Join now by paying account creation fee.,1,1
OfferQuick Agency,Get selected instantly for high-paying job. Just pay registration fee. Simple work from mobile. Join now by paying account creation fee.,1,1
TalentVista Search,Executive search organization that publishes detailed case studies and client list. Senior roles are discussed only in formal meetings; no telephonic money requests are entertained.,0,0
VisasCash Consultancy,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,0,1
QuickOffer Agency,100% placement guarantee. Freshers must pay placement fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
StaffingConsulting Solutions,Provides project-based hiring for Java and .NET engineers. Recruitment for clients is free for job seekers.,0,0
NextGenPartners Staffing,Official recruitment partner for mid-size software companies. Recruitment for clients is free for job seekers.,0,0
CashFirst Services,Company charges for profile activation. Refund if not selected. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
PrimeGlobal Staffing,Service charges are billed only to client companies. No fees are collected from candidates at any stage.,0,0
UrbanBright Staffing,No fees are collected from candidates at any stage. Works only on retained search basis.,0,0
MetroBridge HR Partners,"Local consultancy with GST registration, landline number, and office photos; does not collect any cash from candidates.",0,0
100%Pay Consultancy,Company charges for profile activation. Refund if not selected. We guarantee job in MNC without exams. Pay security deposit.,0,1
SilverGlobal HR,Selection process includes technical test and HR round. All openings are listed on our official website.,0,0
100%Offer Services,We guarantee job in MNC without exams. Pay security deposit. Pay joining fee to access premium job list and HR contacts.,1,1
OverseasOverseas Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
BlueGlobal Staffing,"We are paid by employers, not by job seekers. Consulting and training firm in data science.",0,0
SureShotVisas Consultancy,Part-time copy paste work. First transfer processing fee. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
StaffingUrban Partners,Consulting and training firm in data science. Works only on retained search basis.,0,0
BluePeak Data Analytics Private Limited,Consulting and training firm in data science. Offers internship‑to‑hire programs with stipend; does not ask students to pay deposits.,0,0
QuickGuaranteed Agency,We guarantee job in MNC without exams. Pay security deposit. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SecureStep Career Hub,"Counseling center that charges small fee for aptitude training, but clarifies that hiring decisions are made by companies and no placement money is collected.",0,0
BlueBright Partners,All openings are listed on our official website. Consulting and training firm in data science.,0,0
100%Guaranteed Consultancy,Pay joining fee to access premium job list and HR contacts. Activation fee must be paid immediately to unlock projects.,0,1
100%Job Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
CoreGlobal Solutions,Selection process includes technical test and HR round. All openings are listed on our official website.,0,0
BlueHR Solutions,All openings are listed on our official website. Recruitment for clients is free for job seekers.,0,0
CityCore HR,All communication happens from verified company email domains. Consulting and training firm in data science.,0,0
FirstInstant Services,Part-time copy paste work. First transfer processing fee. Demands non-refundable registration fee to reserve offer letter.,1,1
DreamDream Consultancy,We offer premium job placement services for freshers and experienced candidates.,1,1
EasyDream Jobs,Activation fee must be paid immediately to unlock projects. Asks candidates to pay processing fee in cash before employer details.,1,1
OfferQuick Agency,100% placement guarantee. Freshers must pay placement fee. Activation fee must be paid immediately to unlock projects.,1,1
NextGenUrban Solutions,Selection process includes technical test and HR round. No fees are collected from candidates at any stage.,0,0
OfferOffer Services,Company charges for profile activation. Refund if not selected. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
SilverBlue Solutions,All openings are listed on our official website. Selection process includes technical test and HR round.,0,0
HRTech Staffing,Provides project-based hiring for Java and .NET engineers. Provides project-based hiring for Java and .NET engineers.,0,0
InstantVisas Jobs,100% placement guarantee. Freshers must pay placement fee. One-time registration fee required before sharing interview location.,0,1
TechUrban Solutions,All openings are listed on our official website. Official recruitment partner for mid-size software companies.,0,0
BrightSummit Partners,We are an IT staffing firm partnering with MNC clients. We are an IT staffing firm partnering with MNC clients.,0,0
HRCity Solutions,No fees are collected from candidates at any stage. No fees are collected from candidates at any stage.,0,0
Visas100% Agency,We guarantee job in MNC without exams. Pay security deposit. Simple work from mobile. Join now by paying account creation fee.,1,1
InstantEasy Agency,One-time registration fee required before sharing interview location. We guarantee job in MNC without exams. Pay security deposit.,1,1
HRAdvisory Staffing,Official recruitment partner for mid-size software companies. Selection process includes technical test and HR round.,0,0
BlueUrban Partners,We are an IT staffing firm partnering with MNC clients. We are an IT staffing firm partnering with MNC clients.,0,0
TalentTalent Staffing,Official recruitment partner for mid-size software companies. All openings are listed on our official website.,0,0
First100% Agency,Part-time copy paste work. First transfer processing fee. Must pay consultancy fee and visa processing amount in advance.,1,1
InstantGuaranteed Agency,Earn daily 3000 INR. First pay processing fee for ID card. Pay joining fee to access premium job list and HR contacts.,1,1
100%First Agency,Get selected instantly for high-paying job. Just pay registration fee. Company charges for profile activation. Refund if not selected.,1,1
GuaranteedGuaranteed Jobs,Must pay consultancy fee and visa processing amount in advance. 100% placement guarantee. Freshers must pay placement fee.,1,1
InstantSureShot Agency,Simple work from mobile. Join now by paying account creation fee. We guarantee job in MNC without exams. Pay security deposit.,1,1
Quick100% Agency,Must pay consultancy fee and visa processing amount in advance. One-time registration fee required before sharing interview location.,1,1
GlobalUrban HR,Provides project-based hiring for Java and .NET engineers. All openings are listed on our official website.,0,0
InstantPay Jobs,One-time registration fee required before sharing interview location. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
BlueGlobal Solutions,All communication happens from verified company email domains. Works only on retained search basis.,0,0
CashFirst Agency,Pay joining fee to access premium job list and HR contacts. Pay joining fee to access premium job list and HR contacts.,1,1
HRCore Solutions,We are an IT staffing firm partnering with MNC clients. No fees are collected from candidates at any stage.,0,0
QuickPay Jobs,Part-time copy paste work. First transfer processing fee. One-time registration fee required before sharing interview location.,1,1
ConsultingGlobal Staffing,Official recruitment partner for mid-size software companies. Candidates are hired as full time employees with standard background checks.,0,0
CityAdvisory HR,We are an IT staffing firm partnering with MNC clients. Selection process includes technical test and HR round.,0,0
DreamInstant Jobs,NO INTERVIEW required. Send joining fee on Google Pay. Part-time copy paste work. First transfer processing fee.,1,1
100%Quick Services,Asks candidates to pay processing fee in cash before employer details. We guarantee job in MNC without exams. Pay security deposit.,1,1
OfferInstant Consultancy,Simple work from mobile. Join now by paying account creation fee. 100% placement guarantee. Freshers must pay placement fee.,1,1
ConsultingNextGen HR,Official recruitment partner for mid-size software companies. Provides project-based hiring for Java and .NET engineers.,0,0
OverseasPay Consultancy,Activation fee must be paid immediately to unlock projects. Asks candidates to pay processing fee in cash before employer details.,1,1
CashSureShot Consultancy,Asks candidates to pay processing fee in cash before employer details. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
GlobalSilver Staffing,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
TechPartners Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SureShotFirst Jobs,Company charges for profile activation. Refund if not selected. Company charges for profile activation. Refund if not selected.,0,1
InstantJob Services,Pay joining fee to access premium job list and HR contacts. Must pay consultancy fee and visa processing amount in advance.,1,1
QuickSureShot Services,We offer premium job placement services for freshers and experienced candidates.,0,1
DreamOffer Agency,Get selected instantly for high-paying job. Just pay registration fee. One-time registration fee required before sharing interview location.,1,1
CoreBlue Solutions,Consulting and training firm in data science. Recruitment for clients is free for job seekers.,0,0
VisasDream Agency,NO INTERVIEW required. Send joining fee on Google Pay. Demands non-refundable registration fee to reserve offer letter.,1,1
CoreGlobal Solutions,Works only on retained search basis. Provides project-based hiring for Java and .NET engineers.,0,0
CityBright Staffing,Candidates are hired as full time employees with standard background checks. No fees are collected from candidates at any stage.,0,0
BlueHR Solutions,"All communication happens from verified company email domains. We are paid by employers, not by job seekers.",0,0
CoreGlobal Partners,Works only on retained search basis. Consulting and training firm in data science.,0,0
PrimeConsulting Solutions,Recruitment for clients is free for job seekers. Recruitment for clients is free for job seekers.,0,0
SilverTalent Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
QuickPay Agency,Must pay consultancy fee and visa processing amount in advance. Demands non-refundable registration fee to reserve offer letter.,1,1
First100% Jobs,Get selected instantly for high-paying job. Just pay registration fee. Asks candidates to pay processing fee in cash before employer details.,1,1
AdvisoryBright Staffing,Official recruitment partner for mid-size software companies. All openings are listed on our official website.,0,0
TalentTalent Staffing,"Service charges are billed only to client companies. We are paid by employers, not by job seekers.",0,0
BrightSummit Partners,No fees are collected from candidates at any stage. Provides project-based hiring for Java and .NET engineers.,0,0
CitySummit Solutions,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
UrbanPrime Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
ConsultingPrime HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
BlueBright Partners,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
TechCore Staffing,We are an IT staffing firm partnering with MNC clients. We are an IT staffing firm partnering with MNC clients.,0,0
UrbanCore Partners,Selection process includes technical test and HR round. Works only on retained search basis.,0,0
CoreConsulting HR,We provide 100 percent placement assistance after our intensive 6-month paid bootcamp. Recruitment itself is free.,1,0
SummitSilver Partners,Official recruitment partner for mid-size software companies. Consulting and training firm in data science.,0,0
OverseasOffer Services,We offer premium job placement services for freshers and experienced candidates.,1,1
OverseasOverseas Consultancy,Earn daily 3000 INR. First pay processing fee for ID card. We guarantee job in MNC without exams. Pay security deposit.,1,1
GlobalBright HR,Service charges are billed only to client companies. Works only on retained search basis.,0,0
AdvisoryPartners HR,Official recruitment partner for mid-size software companies. Service charges are billed only to client companies.,0,0
UrbanCity HR,Recruitment for clients is free for job seekers. We are an IT staffing firm partnering with MNC clients.,0,0
TechPartners Staffing,No fees are collected from candidates at any stage. Selection process includes technical test and HR round.,0,0
Placement100% Services,Simple work from mobile. Join now by paying account creation fee. NO INTERVIEW required. Send joining fee on Google Pay.,1,1
TechPrime HR,We are an IT staffing firm partnering with MNC clients. All openings are listed on our official website.,0,0
CoreBright HR,Official recruitment partner for mid-size software companies. All communication happens from verified company email domains.,0,0
PrimeConsulting Staffing,All communication happens from verified company email domains. All openings are listed on our official website.,0,0
OfferJob Consultancy,We guarantee job in MNC without exams. Pay security deposit. One-time registration fee required before sharing interview location.,1,1
FirstSureShot Agency,Company charges for profile activation. Refund if not selected. Part-time copy paste work. First transfer processing fee.,1,1
SureShotOverseas Consultancy,Asks candidates to pay processing fee in cash before employer details. Simple work from mobile. Join now by paying account creation fee.,1,1
TalentConsulting Solutions,Service charges are billed only to client companies. Recruitment for clients is free for job seekers.,0,0
InstantFirst Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
ConsultingAdvisory Partners,Selection process includes technical test and HR round. Service charges are billed only to client companies.,0,0
OfferFirst Jobs,Company charges for profile activation. Refund if not selected. Activation fee must be paid immediately to unlock projects.,1,1
VisasQuick Jobs,We offer premium job placement services for freshers and experienced candidates.,1,1
QuickSureShot Agency,Demands non-refundable registration fee to reserve offer letter. Company charges for profile activation. Refund if not selected.,1,1
TalentTech Partners,Official recruitment partner for mid-size software companies. No fees are collected from candidates at any stage.,0,0
UrbanSummit HR,Selection process includes technical test and HR round. Official recruitment partner for mid-size software companies.,0,0
BrightUrban Solutions,Works only on retained search basis. Service charges are billed only to client companies.,0,0
Easy100% Jobs,One-time registration fee required before sharing interview location. Asks candidates to pay processing fee in cash before employer details.,0,1
Job100% Jobs,One-time registration fee required before sharing interview location. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
ConsultingCore Partners,All communication happens from verified company email domains. Official recruitment partner for mid-size software companies.,0,0
First100% Jobs,Earn daily 3000 INR. First pay processing fee for ID card. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
CityBright Partners,We are an IT staffing firm partnering with MNC clients. Service charges are billed only to client companies.,0,0
Offer100% Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
ConsultingUrban HR,"No fees are collected from candidates at any stage. We are paid by employers, not by job seekers.",0,0
JobEasy Services,Get selected instantly for high-paying job. Just pay registration fee. Pay joining fee to access premium job list and HR contacts.,1,1
BrightCity Partners,Service charges are billed only to client companies. All openings are listed on our official website.,0,0
UrbanSummit Partners,Service charges are billed only to client companies. All communication happens from verified company email domains.,0,0
AdvisoryGlobal Staffing,Candidates are hired as full time employees with standard background checks. All openings are listed on our official website.,0,0
QuickCash Services,We guarantee job in MNC without exams. Pay security deposit. Part-time copy paste work. First transfer processing fee.,1,1
CityTalent HR,Consulting and training firm in data science. All openings are listed on our official website.,0,0
OfferGuaranteed Agency,Activation fee must be paid immediately to unlock projects. Must pay consultancy fee and visa processing amount in advance.,1,1
Cash100% Agency,Asks candidates to pay processing fee in cash before employer details. One-time registration fee required before sharing interview location.,1,1
Pay100% Agency,We offer premium job placement services for freshers and experienced candidates.,1,1
EasyJob Jobs,Must pay consultancy fee and visa processing amount in advance. Earn daily 3000 INR. First pay processing fee for ID card.,1,1
EasyPlacement Consultancy,Company charges for profile activation. Refund if not selected. One-time registration fee required before sharing interview location.,0,1
HRTalent Staffing,Recruitment for clients is free for job seekers. All communication happens from verified company email domains.,0,0
PrimeCity HR,All communication happens from verified company email domains. All communication happens from verified company email domains.,0,0
TechNextGen Partners,"We are paid by employers, not by job seekers. Selection process includes technical test and HR round.",1,0
BlueTech Staffing,Selection process includes technical test and HR round. Selection process includes technical test and HR round.,0,0
Quick100% Agency,Pay joining fee to access premium job list and HR contacts. Asks candidates to pay processing fee in cash before employer details.,1,1
